摘要,標註
南美洲國家智利西方近海在台灣時間今天上午發生芮氏規模6.5強震，震源深度僅10公里，目前災情尚不明朗，所幸暫無海嘯威脅。根據美國地質調查局公布的觀測資訊，台灣時間今天上午8時19分許，智利科金博大區港口城市科金博（Coquimbo）以西79公里，發生芮氏規模6.5地震，震央位於南緯30.0度、西經72.1度，震源深度10公里，按我國氣象局定義屬極淺層強震。,地震
根據日本氣象廳（JMA）的觀測顯示，今（4日）下午本州南方外海發生芮氏規模6.1地震，最大震度4級。該起規模6.1地震，發生在當地時間下午1點40分（台灣時間12點40分），震央位本州南方海域，伊豆鳥島近海，地震深度約440公里，小笠原群島最大震度達4級，本州地區震度則為1級，目前暫無傷亡消息傳出，也未發布海嘯警報。,地震
秘魯在台灣時間週日（26日）下午才發生芮氏規模8.0強震，今（30）日中美洲我前邦交國薩爾瓦多（El Salvador）外海再傳芮氏規模6.6地震。據《路透》報導，美國地質調查局（U.S. Geological Survey）稱，今（30）日薩爾瓦多發生芮氏規模6.6地震，震央位於該國中西部城鎮拉利伯塔德（La Libertad）南方40公里外海。,地震
美國地質調查所（USGS）指出，祕魯北部地區在台灣時間今26日下午3點41分發生規模8.0強震，當地多處房屋倒塌，一度停電。而目前有影片曝光，祕魯地震發生時，原本氣氛正嗨的夜店頓時尖叫聲四起，民眾嚇得趕緊往逃生出口擠，而台上的歌手一時也不知所措，整人傻在原地。臉書粉專「Social Action for Children and Women - SAW」今晚在臉書PO出這段影片，從畫面中可見，當時夜店氣氛正嗨，眾人紛紛舉起雙手隨音樂搖擺，然而地震突然發生，現場音樂隨之中斷，上千位民眾感受到搖晃後頓時尖叫連連，紛紛擠向逃生出口，而台上的歌手一時也被嚇傻，不知該不該逃，雖試圖安撫大家冷靜，但現場仍一片混亂。,地震
根據美國地質調查所（USGS）觀測顯示，祕魯北部地區在台灣時間今（26日）下午3點41分發生規模8.0強震，為今年目前為止全球最強烈地震。該起規模8.0強震，震央位於祕魯北部Lagunas南南東方約75公里處，地震深度約109.9公里，鄰近的厄瓜多、哥倫比亞、巴西等國也都感受到地震的威力，目前尚未有傷亡消息傳出，也未發布海嘯警報，美國地質調查所認為該起地震災害為黃色警告，意味恐釀部分傷亡。,地震
首次上稿 22:07更新時間 07:09據美國地質調查所（USGS）觀測，在台灣時間今（26）天15點41分發生規模8.0強震。秘魯多處傳出電力中斷、房屋倒塌或龜裂等消息。,地震
位於印度洋北部的印度安達曼群島近海今天上午發生芮氏規模5.6強震，震源深度僅10公里，目前尚無災情回傳，有關機構亦未發布海嘯警報。根據美國地質調查局（USGS）公佈的觀測數據，台灣時間今天上午8時39分在印度北安達曼島北方近海發生芮氏規模5.6地震，震央位於北緯13.8度、東經92.9度，震源深度為10公里，按我國氣象局定義屬極淺層強震。,地震
根據美國地質調查所（USGS）觀測顯示，南太平洋海域今（19日）早9時許傳出規模6.8強震。該起規模6.8強震發生在台灣時間今上午9點23分，震央位於新喀里多尼亞羅雅提群島（Loyalty Islands）塔丁恩（Tadine）以東方195公里處海域，地震深度僅14公里，目前暫無損害消息傳出，也未發布海嘯警報。,地震
中美洲外海今天發生規模5.7地震，地震造成薩爾瓦多和尼加拉瓜首都馬納瓜（Managua）建築物搖晃，民眾驚慌撤離，所幸目前並未傳出重大災損。路透社報導，美國地質調查所（USGS）表示，震央在尼加拉瓜希吉利歐鎮（Jiquilillo）西南西方大約39公里處，震源深度71公里。,地震
南太平洋國家巴布亞紐幾內亞本月早前先後發生規模7.2、7.5強震，一度有海嘯威脅，今天上午又發生芮氏規模5.7極淺層強震，鄰近震央的我國友邦索羅門群島也有感，不過目前尚無災情回傳，有關機構也未發布海嘯警報。根據美國地質調查局（USGS）公佈的觀測資訊，台灣時間今天上午9時23分許，巴布亞紐幾內亞新愛爾蘭島（New Ireland）塔隆（Taron）南南西方向95公里近海發生芮氏規模5.7地震，震央位於南緯5.2度、東經152.6度，震源深度為25.3公里，按我國氣象局定義屬極淺層強震。,地震
美國地質調查所（U.S. Geological Survey）指出，巴拿馬西部沿海城市大衛市（David）西北方47公里處今天發生規模6.1地震。目前尚未傳出災損傷亡。路透社報導，美國地質調查所還提到，震央靠近巴拿馬與哥斯大黎加的邊界，地震深度大約37公里，規模從原本的6.2下修至6.1。,地震
日本九州宮崎縣東方外海今天上午接連發生3次強震，最大規模高達6.3，其他2次分別為5.6、4.9，目前當地尚無災情傳出，日本氣象廳指出，當地未來一週將持續有震度超過5的強震發生，提醒民眾注意。根據「日本氣象廳」公佈的觀測數據，九州地區宮崎縣東方外海在台灣時間今天上午06:43、07:48分與08:07分別發生芮氏規模5.6、6.3與4.9等3強震，造成最大震度依序為3、5弱與3，其中規模6.3那起地震震央位於北緯31.8度、東經132.1度，震源深度僅20公里，屬極淺層強震。,地震
位於南太平洋的巴布亞紐幾內亞7日早上發生規模7.2強震，據美國地質調查局（USGS）數據，震源深度為127公里，震央位在布洛洛（Bulolo）西北邊33公里處，部分地區震後出現斷電狀況，但並未發布海嘯警報，也還未傳出傷亡災情。據美國地質調查局（USGS）指出，巴布亞紐幾內亞於台灣時間7日5點19分發生規模7.2強震，震央位在布洛洛（Bulolo）西北邊33公里處，震源深度為127公里，連250公里外的首都摩士比港（Port Moresby）也感受到震度，部分地區在震後出現斷電狀況。,地震
菲律賓上月底才遭規模6.1、6.3等2強震侵襲，共造成超過10人死亡，當地今天上午又發生芮氏規模5.7強震，震源深度僅10公里，屬極淺層強震，目前災情未明。根據美國地質調查局（USGS）公布的觀測數據，台灣時間今天上午9時05分許，菲律賓西北部卡拉棉群島西方近海發生芮氏規模5.7地震，震央位於北緯12.3度，東經120.9度，震源深度僅10公里，按我國氣象局定義已達極淺層強震等級。,地震
宜蘭外海在今天清晨5時47分發生芮氏規模4.2、深度103.4公里的地震，震央位於台灣東部海域（宜蘭縣政府東偏北方19.7公里），最大震度3級。中央氣象局數據顯示，宜蘭縣南澳地區最大震度3級；牛鬥、武塔等地區最大震度2級；蘇澳、內城、冬山、南山等地區最大震度1級。,地震
菲律賓日前才發生規模6.1強震，造成至少11人死亡慘劇，該國東南部錫亞高島近海剛剛又發生芮氏規模5.2強震，目前暫無災情回傳，有關機構也無發布海嘯警報。根據美國地質調查局（USGS）公布的觀測數據，台灣時間今天下午1時27分許，菲律賓錫亞高島盧納將軍城（General luna）東方46公里發生芮氏規模5.2地震，震央位於北緯9.1度、東經126.5度，震源深度為67.4公里，按我國氣象局定義達淺層強震等級。,地震
美國地質調查所（USGS）表示，印度東北阿薩姆（Assam）地區今天凌晨遭到規模6.1強烈地震襲擊。根據美國地質調查所，震央位於狄布魯加（Dibrugarh）西北114公里，震源深度僅9公里，是個淺層地震。,地震
菲律賓呂宋島昨日也遭到強震侵襲，下午5點11分發生芮氏規模6.3強震，造成2棟建築倒塌、至少11人死亡、24人失蹤與部分地區停電，有民眾拍下地震發生時，1棟高樓頂樓的游泳池因為強震，裡面的水像瀑布一樣外洩，讓網友們驚呼地震實在太恐怖。綜合外媒報導，該大樓名為Anchor Skysuites，在地震發生時，麥克（Micheal Rivo）剛好在Anchor Skysuites大樓附近，便錄下這驚人的地震過程，從影片中可以看到大樓頂端游泳池隨著地震，池水像瀑布一樣不斷洩出，許多民眾受到驚嚇而四處逃竄，城市的各處驚叫聲四起。,地震
菲律賓昨（22）日下午5點才發生規模6.1強震，不到1天，今（23）日菲律賓薩馬島下午1時37分又發生規模6.3地震，震源深度70.2公里。綜合媒體報導，昨日菲律賓地震規模6.1，是近年來數一數二大的地震，死亡人數已攀升到11人。菲律賓地震專家也表示，初起地震過後已記錄到400多起餘震，有些規模達3.4。,地震
位於太平洋西南部的東加群島鄰近海域，於台灣時間今天中午12時52分許發生芮氏規模5.2強震，這是該海域昨晚至今的第4次地震，當地暫無災情傳出，有關機構亦未發布海嘯警報。根據美國地質調查局（USGS）公布的觀測資訊，台灣時間今天中午12時52分許，東加利富卡島龐艾鎮（Pangai）東南東方向137公里數海域發生芮氏規模5.2地震，震央位於南緯20.0度、西經173.0度，震源深度僅10公里，按我國氣象局定義屬極淺層強震。,地震
菲律賓呂宋島今（22）傍晚發生芮氏規模6.1的地震，已有5人死亡。綜合外媒報導，Porac城一棟4層樓高的建築物裡，目前確認已有3人死亡。當局表示，目前仍在搜救中，但因地震引發停電，救援工作也連帶受影響；相距不遠的Lubao則傳出一對祖孫遭壓死的消息。,地震
美國地質調查所（USGS）今天表示，澳洲南方海岸外海發生規模6.5淺層地震，暫未傳災損，也未發布海嘯警報。USGS指出，震央在澳洲蓋威斯頓（Geeveston）西南1040公里處，震源深度大約10公里。,地震
南美洲國家智利西北部沿岸剛剛發生芮氏規模5.7極淺層強震，目前尚無當地災情報告回傳，有關機構也未發布海嘯警報。根據美國地質調查局（USGS）公布的觀測資訊，台灣時間今天中午12時06分許，智利西北部港口城市科金博（Coquimbo）北北西方向74公里發生芮氏規模5.7地震，震央位於南緯29.3度、西經71.7度，震源深度僅35公里，按我國氣象局定義已屬極淺層強震等級。,地震
印尼東部外海昨天發生6.8強震，據報一人死亡，同時簡短的海嘯警報，一度讓居民感到驚慌並逃往高處避難。美國地質調查所（USGS）報告，印尼蘇拉威西島東岸外海發生深度17公里淺層地震。去年蘇拉威西島濱海城市巴路（Palu）發生7.5強震且引發海嘯，奪走4300多人生命。,地震
美國地質調查局（United States Geological Survey，USGS）最新資料顯示，印尼蘇拉威西島附近海域，今天（12日）台灣時間晚上7時40分，發生芮氏地震規模6.8地震，震源深度17.5公里，目前沒有傳出災損或傷亡。《路透》報導，震央位於印尼哥倫打洛省（Gorontalo）以南280公里，震央深度43公里。,地震
美國地質調查所（USGS）表示，索羅門群島（Solomon Islands）外海的太平洋海域今天發生規模5.0地震，目前未傳出損害消息，當局也未發布海嘯警報。USGS表示，這起地震的震央位於索羅門群島基拉基拉市（Kirakira）外海約27公里以及首都荷尼阿拉（Honiara）東南方225公里處，震源深度約73公里。,地震
美國阿拉斯加基斯卡島近海稍早發生規模6.5強震，而隨後又發生兩起地震。,地震
厄瓜多近海在台灣時間今（31日）下午3點04紛傳出芮氏規模6.2的強震，由於地震發生時間正值當地深夜，民眾嚇壞紛紛跑出建築，目前暫無海嘯警報或傷亡消息傳出。根據美國地質調查局（USGS）資料指出，台灣時間今下午3點04分，厄瓜多西南近海發生芮氏規模6.2強震，震央據沿海城市聖埃倫娜（Santa Elena）以北方72公里處，震源深度僅18.5公里，地震發生後餘震不斷，最大餘震規模達5.4，居民在睡夢中驚醒，紛紛逃出，在街上逗留不願返家。,地震
美國地質調查所（USGS）指出，巴布亞新幾內亞的新不列顛島（New Britain island）在今（30）日稍早前發生規模6.1地震。目前尚未有傷亡消息傳出。根據《NDTV》報導，地震發生在台北時間晚間7點20分，稍早前測量出地震規模為6.4。據悉，目前尚未有傷亡或災損情形傳出。,地震
俄羅斯遠東地區堪察加半島外海今早發生芮氏規模6.1的地震，目前暫無海嘯警報或傷亡消息傳出。根據美國地質調查局（USGS）資料指出，當地時間早上10點06分，俄羅斯堪察加半島鄰近千島群島的外海海域，發生一起芮氏規模6.1，震源深度僅有9.8公里的極淺層地震。,地震
日本九州東部近海於台灣時間今天上午8時11分許發生芮氏規模5.4極淺層強震，目前尚無傷亡等災情回傳，亦無海嘯威脅。根據美國地質調查局（USGS）公布的觀測數據，台灣時間今天上午8時11分，日本九州宮崎縣高鍋町東方48公里近海，發生芮氏規模5.4地震，震央位於北緯32.2度，東經132.0度，震源深度僅15.1公里，按我國氣象局定義已達極淺層強震等級。,地震
台灣時間今天上午（24日）9點半，印尼中部陸地發生規模5.4極淺層地震。而就在剛剛，台灣時間中午12點37分，印尼又有規模6.1的淺層地震發生在中部海域。目前沒有海嘯警報或任何傷亡消息傳出。美國地質調查局（USGS）資料顯示，上午印尼中部蘇拉威西島發生芮氏規模5.4、震源深度僅10公里的極淺層地震。就在剛剛中午時分，印尼中部海域馬魯古海，又傳出芮氏規模6.1、震源深度37.4公里的地震消息。昨日下午1點，相同的海域也發生過芮氏規模4.7、震源深度10公里的地震。,地震
美國地質調查局（USGS）指出，印尼蘇拉威西島（Sulawesi）當地時間週日發生規模5.4地震，深度僅10公里，目前並未發出海嘯警報。根據《路透》報導，美國地質調查局數據指出，地震震央位於蘇拉威西島潘多羅（Pendolo）西北西方約30公里處，震源深度僅10公里，屬於淺層地震，目前並未傳出傷亡，當局也尚未發布海嘯警報。,地震
哥倫比亞西部於當地時間週六（23日）下午2點發生一起規模6.1強震，目前未傳出災情。據美國地質調查所（USGS）數據指出，這起地震發生於當地時間下午2時19分，震央位於考卡山谷省（Valle del Cauca）埃爾多維奧鎮（El Dovio）西北方7公里處，震源深度113.3公里。,地震
美國地質調查所（USGS）表示，規模6.1強震今天下午侵襲哥倫比亞西南部，但目前未傳出傷亡或重大損害災情。USGS指出，這起地震於當地時間下午2時19分發生，震央位於考卡山谷省（Valle del Cauca）埃爾多維奧鎮（El Dovio）西北方7公里處，震源深度113.3公里。,地震
南韓民國氣象廳指出，北韓今日發生輕度地震，震央接近豐溪里核試驗場，格外引人聯想。《韓聯社》報導，南韓民國氣象廳表示，北韓今日凌晨4點41分左右發生規模2.8輕度地震，深度10公里，震央位在吉州郡西北45公里處，距離豐溪里核試驗場僅1公里遠。並在上午7點13分左右，外海再發生規模2.7地震。氣象廳初步認為，地震應屬於自然而非人為。,地震
南韓浦項2017年發生芮氏規模5.4強震，最新調查報告指出，這是地熱發電廠向地底注水所誘發的非自然地震。對此，南韓政府今（20）日宣布，永久關閉浦項地熱發電廠。《韓聯社》報導，南韓政府20日表示，虛心接受國內外專家調查研究團隊得出的地熱發電站觸發浦項地震的結論，將完全關閉地熱發電廠，調查發電項目實施過程是否違規。,地震
土耳其西南部地區發生規模5.6地震，造成部分建築物毀損，尚無人員傷亡消息，土耳其坎迪里氣象台數據顯示，土耳其西南部當地時間週三上午9點34分，發生規模5.6地震，深度僅5公里，震央位於代尼茲利省阿哲帕亞姆鎮，伴隨而來的還有規模4.2至3.4之間的4個餘震。,地震
2017年11月15日，南韓浦項發生芮氏規模5.4強震，是朝鮮半島1978年起有記錄以來的第二強震，多棟建築物倒塌、傾斜或出現裂縫，造成91人受傷，專家調查後赫然發現，該起地震非自然地震，而是地熱發電廠向地底注水所誘發。據《韓聯社》報導，南韓2017年11月15日發生規模5.4的浦項地震，造成91傷，該起地震也暴露南韓抗震性差的問題，2000棟建築、大量汽車受損，大學聯考也被迫推遲舉行，去年4月南韓、瑞士和英國的研究小組在《科學》刊文，質疑本次地震可能非自然地震，而是鄰近震央的地熱發電廠所誘發，南韓政府為此展開調查。,地震
印尼渡假勝地龍目島（Lombok）17日下午發生規模5.5地震，部分山區山崩而導致人命傷亡，其中馬來西亞最大中文報紙星洲日報副執行總編輯也不幸罹難。「馬新社」報導，這場地震發生在17日下午2時7分，幾乎整個龍目島都感受到地震。截至下午4時左右，印尼當局接獲消息指在地震發生時，近40名遊客被困在塞那魯村（Senaru）的丟可樂（Tiu Kelep）瀑布區，並造成至少2人死亡，6人失蹤。,地震
印尼龍目島當地時間今（17）日下午發生規模5.4地震，引發山崩，導致遊訪Tiu Kelep瀑布的國內外遊客受困，其中有2人死亡。綜合外媒報導，西努沙登加拉省（West Nusa Tenggara）災害管理機構負責人拉姆（Muhammad Rum）告訴當地媒體，今天有2場中型地震撼動龍目島，引發山崩，當時約有40名馬來西亞與印尼旅客在參觀龍目島北側的Tiu Kelep瀑布。,地震
